Title;Issn;SJR Best Quartile;Categories
Annual Review of Environment and Resources;15452050, 15435938;Q1;Environmental Science (miscellaneous) (Q1)
InfoMat;25673165;Q1;"Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Materials Science (miscellaneous) (Q1); Surfaces, Coatings and Films (Q1)"
Reports on Progress in Physics;13616633, 00344885;Q1;"Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
National Center for Health Statistics Data Brief;19414927, 19414935;Q1;Medicine (miscellaneous) (Q1)
Clinical Microbiology Reviews;08938512, 10986618;Q1;"Epidemiology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1)"
International Journal of Machine Tools and Manufacture;08906955;Q1;"Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1)"
European Journal of Heart Failure;13889842, 18790844;Q1;Cardiology and Cardiovascular Medicine (Q1)
Hepatology;02709139, 15273350;Q1;"Hepatology (Q1); Medicine (miscellaneous) (Q1)"
Journal of the American Chemical Society;15205126, 00027863;Q1;"Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1)"
Angewandte Chemie - International Edition;14337851, 15213773;Q1;"Catalysis (Q1); Chemistry (miscellaneous) (Q1)"
Nature Human Behaviour;23973374;Q1;"Behavioral Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Social Psychology (Q1)"
American Political Science Review;15375943, 00030554;Q1;"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
Nature Chemical Biology;15524469, 15524450;Q1;"Cell Biology (Q1); Molecular Biology (Q1)"
Molecular Plant;16742052, 17529867;Q1;"Molecular Biology (Q1); Plant Science (Q1)"
JNCCN Journal of the National Comprehensive Cancer Network;15401413, 15401405;Q1;"Medicine (miscellaneous) (Q1); Oncology (Q1)"
Nature Reviews Rheumatology;17594790, 17594804;Q1;Rheumatology (Q1)
Personality and Social Psychology Review;10888683, 15327957;Q1;Social Psychology (Q1)
Molecular Neurodegeneration;17501326;Q1;"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Neurology (clinical) (Q1)"
Journal of Management Studies;00222380, 14676486;Q1;"Business and International Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
Trends in Cell Biology;09628924, 18793088;Q1;Cell Biology (Q1)
The Lancet Infectious Diseases;14744457, 14733099;Q1;Infectious Diseases (Q1)
Advanced Functional Materials;1616301X;Q1;"Biomaterials (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electrochemistry (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
Accounts of Chemical Research;00014842, 15204898;Q1;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
JACC: Cardiovascular Imaging;1936878X, 18767591;Q1;"Cardiology and Cardiovascular Medicine (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
Personnel Psychology;00315826, 17446570;Q1;"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)"
Nature Synthesis;27310582;Q1;"Chemistry (miscellaneous) (Q1); Inorganic Chemistry (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1)"
Leadership Quarterly;10489843;Q1;"Applied Psychology (Q1); Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
Perspectives on Psychological Science;17456916, 17456924;Q1;Psychology (miscellaneous) (Q1)
Protein and Cell;16748018, 1674800X;Q1;"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Drug Discovery (Q1); Medicine (miscellaneous) (Q1)"
Economic Journal;14680297, 00130133;Q1;Economics and Econometrics (Q1)
Human Reproduction Update;14602369, 13554786;Q1;"Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1)"
JAMA;15383598, 00987484;Q1;Medicine (miscellaneous) (Q1)
PRX Quantum;26913399;Q1;"Applied Mathematics (Q1); Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Mathematical Physics (Q1); Physics and Astronomy (miscellaneous) (Q1)"
GigaScience;2047217X;Q1;"Computer Science Applications (Q1); Health Informatics (Q1)"
Drug Resistance Updates;13687646, 15322084;Q1;"Cancer Research (Q1); Infectious Diseases (Q1); Oncology (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)"
American Journal of Psychiatry;0002953X, 15357228;Q1;Psychiatry and Mental Health (Q1)
Annual Review of Sociology;03600572, 15452115;Q1;Sociology and Political Science (Q1)
The Lancet Microbe;26665247;Q1;"Infectious Diseases (Q1); Microbiology (Q1); Microbiology (medical) (Q1); Virology (Q1)"
American Economic Journal: Microeconomics;19457669, 19457685;Q1;Economics, Econometrics and Finance (miscellaneous) (Q1)
JACC: Heart Failure;22131787, 22131779;Q1;Cardiology and Cardiovascular Medicine (Q1)
Computers and Education: Artificial Intelligence;2666920X;Q1;"Artificial Intelligence (Q1); Computer Science Applications (Q1); Education (Q1)"
Annual Review of Ecology, Evolution, and Systematics;1543592X;Q1;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
Strategic Organization;1741315X, 14761270;Q1;"Business and International Management (Q1); Education (Q1); Industrial Relations (Q1); Strategy and Management (Q1)"
EnergyChem;25897780;Q1;"Biomaterials (Q1); Chemistry (miscellaneous) (Q1); Energy (miscellaneous) (Q1)"
Applied Catalysis B: Environmental;18733883, 09263373;Q1;"Catalysis (Q1); Environmental Science (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
Developmental Cell;15345807, 18781551;Q1;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Cell Biology (Q1); Developmental Biology (Q1); Molecular Biology (Q1)"
The Lancet Healthy Longevity;26667568;Q1;"Family Practice (Q1); Geriatrics and Gerontology (Q1); Health (social science) (Q1); Psychiatry and Mental Health (Q1)"
Annual Review of Biophysics;19361238, 1936122X;Q1;"Biochemistry (Q1); Bioengineering (Q1); Biophysics (Q1); Cell Biology (Q1); Structural Biology (Q1)"
Blood Cancer Journal;20445385;Q1;"Hematology (Q1); Oncology (Q1)"
Nature Geoscience;17520908, 17520894;Q1;Earth and Planetary Sciences (miscellaneous) (Q1)
Advanced Powder Materials;2772834X;Q1;"Catalysis (Q1); Ceramics and Composites (Q1); Energy (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Metals and Alloys (Q1); Surfaces, Coatings and Films (Q1)"
JAMA Pediatrics;21686211, 21686203;Q1;Pediatrics, Perinatology and Child Health (Q1)
Genome Medicine;1756994X;Q1;"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1)"
Journal of International Business Studies;00472506, 14786990;Q1;"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
American Journal of Respiratory and Critical Care Medicine;1073449X, 15354970;Q1;"Critical Care and Intensive Care Medicine (Q1); Pulmonary and Respiratory Medicine (Q1)"
Academy of Management Perspectives;15589080;Q1;"Business and International Management (Q1); Marketing (Q1); Strategy and Management (Q1)"
Organization Studies;17413044, 01708406;Q1;"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
Light: Science and Applications;20477538;Q1;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
Intensive Care Medicine;14321238, 03424642;Q1;Critical Care and Intensive Care Medicine (Q1)
European Heart Journal;15229645, 0195668X;Q1;Cardiology and Cardiovascular Medicine (Q1)
International Organization;15315088, 00208183;Q1;"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
Cell Systems;24054720, 24054712;Q1;"Cell Biology (Q1); Histology (Q1); Pathology and Forensic Medicine (Q1)"
The Lancet Haematology;23523026, 24519960;Q1;Hematology (Q1)
Psychological Methods;1082989X, 19391463;Q1;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
Psychotherapy and Psychosomatics;00333190, 14230348;Q1;"Applied Psychology (Q1); Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1)"
Circulation Research;00097330, 15244571;Q1;"Cardiology and Cardiovascular Medicine (Q1); Physiology (Q1)"
Trends in Ecology and Evolution;01695347, 18728383;Q1;Ecology, Evolution, Behavior and Systematics (Q1)
Cell Death and Differentiation;13509047, 14765403;Q1;"Cell Biology (Q1); Molecular Biology (Q1)"
Information Systems Research;15265536, 10477047;Q1;"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)"
Health Psychology Review;17437202, 17437199;Q1;"Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)"
EMBO Journal;02614189, 14602075;Q1;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)"
Nature Plants;2055026X, 20550278;Q1;Plant Science (Q1)
Matter;25902393, 25902385;Q1;Materials Science (miscellaneous) (Q1)
Clinical Cancer Research;10780432, 15573265;Q1;"Cancer Research (Q1); Oncology (Q1)"
Molecular Systems Biology;17444292;Q1;"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
Advanced Photonics;25775421;Q1;"Atomic and Molecular Physics, and Optics (Q1); Biomedical Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1)"
Annals of Statistics;00905364;Q1;"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
Nature Communications;20411723;Q1;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
Critical Finance Review;21645760, 21645744;Q1;Finance (Q1)
Trends in Cancer;24058033, 24058025;Q1;"Cancer Research (Q1); Oncology (Q1)"
Trends in Neurosciences;01662236, 1878108X;Q1;Neuroscience (miscellaneous) (Q1)
British Journal of Sports Medicine;03063674, 14730480;Q1;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
Journal of Clinical Investigation;00219738, 15588238;Q1;Medicine (miscellaneous) (Q1)
Brain;14602156, 00068950;Q1;"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)"
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition;10636919;-;"Computer Vision and Pattern Recognition; Software"
Review of Educational Research;00346543, 19351046;Q1;Education (Q1)
Biological Psychiatry;00063223, 18732402;Q1;Biological Psychiatry (Q1)
Protein Science;1469896X, 09618368;Q1;"Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
Annual Review of Entomology;00664170, 15454487;Q1;"Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1)"
Coordination Chemistry Reviews;00108545;Q1;"Inorganic Chemistry (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
JAMA Internal Medicine;21686114, 21686106;Q1;Internal Medicine (Q1)
Review of Asset Pricing Studies;20459920, 20459939;Q1;"Economics and Econometrics (Q1); Finance (Q1)"
IEEE Transactions on Smart Grid;19493053;Q1;Computer Science (miscellaneous) (Q1)
Global Change Biology;13652486, 13541013;Q1;"Ecology (Q1); Environmental Chemistry (Q1); Environmental Science (miscellaneous) (Q1); Global and Planetary Change (Q1)"
Nano Energy;22112855;Q1;"Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
Journal of Supply Chain Management;15232409, 1745493X;Q1;"Economics, Econometrics and Finance (miscellaneous) (Q1); Information Systems (Q1); Management Information Systems (Q1); Marketing (Q1)"
Ophthalmology;15494713, 01616420;Q1;Ophthalmology (Q1)
Journal of Consumer Psychology;15327663, 10577408;Q1;"Applied Psychology (Q1); Marketing (Q1)"
European Review of Social Psychology;10463283, 1479277X;Q1;Social Psychology (Q1)
American Journal of Human Genetics;15376605, 00029297;Q1;"Genetics (Q1); Genetics (clinical) (Q1)"
Journal of Extracellular Vesicles;20013078;Q1;"Cell Biology (Q1); Histology (Q1)"
Journal of Operations Management;18731317, 02726963;Q1;"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)"
PhotoniX;26621991;Q1;"Atomic and Molecular Physics, and Optics (Q1); Electrical and Electronic Engineering (Q1); Engineering (miscellaneous) (Q1)"
The Lancet HIV;23523018;Q1;"Epidemiology (Q1); Immunology (Q1); Infectious Diseases (Q1); Virology (Q1)"
Trends in Cognitive Sciences;1879307X, 13646613;Q1;"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Neuropsychology and Physiological Psychology (Q1)"
Annual Review of Microbiology;00664227, 15453251;Q1;"Medicine (miscellaneous) (Q1); Microbiology (Q1)"
European Respiratory Journal;09031936, 13993003;Q1;"Medicine (miscellaneous) (Q1); Pulmonary and Respiratory Medicine (Q1)"
Wiley Interdisciplinary Reviews: Computational Molecular Science;17590876, 17590884;Q1;"Biochemistry (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
ACS Nano;1936086X, 19360851;Q1;"Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Physics and Astronomy (miscellaneous) (Q1)"
Implementation Science;17485908;Q1;"Health Informatics (Q1); Health Policy (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
Manufacturing and Service Operations Management;15265498, 15234614;Q1;"Management Science and Operations Research (Q1); Strategy and Management (Q1)"
MIS Quarterly: Management Information Systems;02767783, 21629730;Q1;"Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)"
Acta Neuropathologica;00016322, 14320533;Q1;"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)"
Advances in Physics;14606976, 00018732;Q1;Condensed Matter Physics (Q1)
Health Affairs;02782715, 15445208;Q1;"Health Policy (Q1); Medicine (miscellaneous) (Q1)"
Journal of Financial and Quantitative Analysis;00221090, 17566916;Q1;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
Journal of Advertising;15577805, 00913367;Q1;"Business and International Management (Q1); Communication (Q1); Marketing (Q1)"
IEEE Transactions on Wireless Communications;15361276, 15582248;Q1;"Applied Mathematics (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)"
IEEE Transactions on Cybernetics;21682275, 21682267;Q1;"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)"
Autophagy;15548635, 15548627;Q1;"Cell Biology (Q1); Molecular Biology (Q1)"
Cement and Concrete Composites;09589465;Q1;"Building and Construction (Q1); Materials Science (miscellaneous) (Q1)"
Quantitative Economics;17597323, 17597331;Q1;Economics and Econometrics (Q1)
Annual Review of Nutrition;01999885, 15454312;Q1;"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1)"
Progress in Particle and Nuclear Physics;01466410;Q1;Nuclear and High Energy Physics (Q1)
IEEE Wireless Communications;15361284;Q1;"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)"
Educational Psychology Review;1040726X, 1573336X;Q1;"Developmental and Educational Psychology (Q1); Education (Q1)"
Biological Reviews;1469185X, 14647931;Q1;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
Current Climate Change Reports;21986061;Q1;"Atmospheric Science (Q1); Global and Planetary Change (Q1)"
Accounts of Materials Research;26436728;Q1;"Chemical Engineering (miscellaneous) (Q1); Materials Chemistry (Q1); Materials Science (miscellaneous) (Q1); Polymers and Plastics (Q1)"
Nature Ecology and Evolution;2397334X;Q1;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
